term,Pre-COVID_token_count,Pre-COVID_doc_count,Pre-COVID_doc_share,Post-COVID_token_count,Post-COVID_doc_count,Post-COVID_doc_share,doc_share_gap,log2_ratio_smoothed,p_value_fisher,q_value
quality_assurance,7,3,0.6,6,3,0.3333333333333333,-0.26666666666666666,-0.8460777908201611,0.5804195804195803,0.8416083916083915
oversight,3,3,0.6,6,3,0.3333333333333333,-0.26666666666666666,-0.8460777908201611,0.5804195804195803,0.8416083916083915
inspections,4,2,0.4,1,1,0.1111111111111111,-0.2888888888888889,-1.8386729687908756,0.5054945054945056,0.8416083916083915
performance,5,2,0.4,6,1,0.1111111111111111,-0.2888888888888889,-1.8386729687908756,0.5054945054945056,0.8416083916083915
translational,3,2,0.4,1,1,0.1111111111111111,-0.2888888888888889,-1.8386729687908756,0.5054945054945056,0.8416083916083915
public,3,2,0.4,4,1,0.1111111111111111,-0.2888888888888889,-1.8386729687908756,0.5054945054945056,0.8416083916083915
conduct,3,3,0.6,2,2,0.2222222222222222,-0.37777777777777777,-1.4288843334202057,0.26573426573426573,0.8416083916083915
regulatory,4,3,0.6,11,2,0.2222222222222222,-0.37777777777777777,-1.4288843334202057,0.26573426573426573,0.8416083916083915
global,4,3,0.6,6,2,0.2222222222222222,-0.37777777777777777,-1.4288843334202057,0.26573426573426573,0.8416083916083915
investigator,3,3,0.6,2,2,0.2222222222222222,-0.37777777777777777,-1.4288843334202057,0.26573426573426573,0.8416083916083915
adverse_event_reporting,3,2,0.4,0,0,0.0,-0.4,-8.64745842645492,0.10989010989010989,0.8416083916083915
clinical_study,7,2,0.4,0,0,0.0,-0.4,-8.64745842645492,0.10989010989010989,0.8416083916083915
financial,7,2,0.4,0,0,0.0,-0.4,-8.64745842645492,0.10989010989010989,0.8416083916083915
fda,3,2,0.4,0,0,0.0,-0.4,-8.64745842645492,0.10989010989010989,0.8416083916083915
initiatives,3,2,0.4,0,0,0.0,-0.4,-8.64745842645492,0.10989010989010989,0.8416083916083915
reporting,8,3,0.6,1,1,0.1111111111111111,-0.4888888888888889,-2.4224357230471405,0.09490509490509491,0.8416083916083915
practices,8,3,0.6,0,0,0.0,-0.6,-9.231221180711186,0.02747252747252748,0.7967032967032969
research,17,4,0.8,1,1,0.1111111111111111,-0.6888888888888889,-2.8368729747446655,0.022977022977022976,0.7967032967032969
